Date,Open,High,Low,Close,Volume,Company
07/20/2022,105,105,105,105,100,KAPC
07/19/2022,105,105,105,105,100,KAPC
07/18/2022,108,108,108,108,400,KAPC
07/15/2022,109,109,108,108.25,500,KAPC
07/13/2022,109,109,109,109,400,KAPC
07/12/2022,108,108,108,108,600,KAPC
07/08/2022,108,108,108,108,100,KAPC
07/07/2022,109,109,109,109,"1,200",KAPC
07/06/2022,109,109,109,109,"2,500",KAPC
07/05/2022,108,109,108,108,"1,100",KAPC
07/01/2022,107,110,107,108.25,"2,600",KAPC
06/30/2022,107,107,107,107,"5,600",KAPC
06/29/2022,107,107,107,107,"1,000",KAPC
06/28/2022,97.75,97.75,97.5,97.75,"2,900",KAPC
06/21/2022,89,89,89,89,"4,900",KAPC
06/15/2022,89,89,89,89,100,KAPC
06/14/2022,85,85,85,85,"1,900",KAPC
06/09/2022,81,81,81,81,"1,600",KAPC
06/08/2022,85,85,85,85,"1,100",KAPC
06/07/2022,85,95.5,85,86.75,"1,600",KAPC
06/06/2022,90,90,90,90,500,KAPC
06/03/2022,90,90,90,90,300,KAPC
05/31/2022,95.5,95.5,95.5,95.5,100,KAPC
05/25/2022,89,89,89,89,100,KAPC
05/16/2022,90,99,90,95.5,500,KAPC
05/13/2022,90,90,90,90,300,KAPC
05/11/2022,89.25,89.25,89.25,89.25,100,KAPC
05/10/2022,99,100,98.75,99,700,KAPC
05/06/2022,98.75,98.75,98.75,98.75,100,KAPC
05/04/2022,98,99,98,98.75,300,KAPC
04/28/2022,99,99,99,99,100,KAPC
04/25/2022,98.75,98.75,98.75,98.75,200,KAPC
04/19/2022,90.25,90.25,90.25,90.25,100,KAPC
04/13/2022,90.25,90.25,90.25,90.25,"12,900",KAPC
04/05/2022,99.75,99.75,99.75,99.75,100,KAPC
03/30/2022,99.75,99.75,99.75,99.75,100,KAPC
03/24/2022,99.75,99.75,99.75,99.75,300,KAPC
03/23/2022,99.75,99.75,99.75,99.75,700,KAPC
03/21/2022,98,98,98,98,100,KAPC
03/18/2022,99.75,99.75,99.75,99.75,800,KAPC
03/14/2022,98,98,98,98,300,KAPC
03/08/2022,96,100,96,98,200,KAPC
03/07/2022,96.5,96.5,96.5,96.5,200,KAPC
03/04/2022,96,96,96,96,100,KAPC
03/02/2022,99.5,99.5,99.5,99.5,500,KAPC
02/28/2022,96,96,96,96,100,KAPC
02/22/2022,96,96,96,96,100,KAPC
02/18/2022,96,96,96,96,500,KAPC
02/16/2022,95,95,95,95,300,KAPC
02/09/2022,92,92,92,92,100,KAPC
02/08/2022,92.25,92.25,92.25,92.25,100,KAPC
02/02/2022,92,92,92,92,100,KAPC
01/28/2022,101,101,101,101,100,KAPC
01/27/2022,100,100,100,100,500,KAPC
01/24/2022,95,95,95,95,100,KAPC
01/21/2022,98,98,98,98,300,KAPC
01/20/2022,100,100,100,100,100,KAPC
01/14/2022,99,99,99,99,500,KAPC
01/13/2022,98,98,98,98,300,KAPC
01/12/2022,97.5,97.5,97.5,97.5,300,KAPC
01/11/2022,96,99,96,97.25,"1,600",KAPC
01/07/2022,92,92,92,92,200,KAPC
01/06/2022,90,90,90,90,200,KAPC
01/04/2022,90,90,90,90,100,KAPC
01/03/2022,99.5,99.5,99.5,99.5,100,KAPC
12/29/2021,95,97.75,95,95.5,600,KAPC
12/23/2021,89,89,89,89,300,KAPC
12/22/2021,90,90,90,90,500,KAPC
12/07/2021,90,90,90,90,100,KAPC
11/19/2021,82,82,82,82,500,KAPC
11/08/2021,85,85,80,81,"2,500",KAPC
11/05/2021,85,85,85,85,100,KAPC
11/03/2021,85,85,85,85,500,KAPC
11/02/2021,85,85,85,85,100,KAPC
11/01/2021,90,90,90,90,500,KAPC
10/27/2021,85,85,85,85,500,KAPC
10/26/2021,85,85,85,85,100,KAPC
10/18/2021,85,95,85,87.5,"1,600",KAPC
10/15/2021,88.5,88.5,87,88,"1,600",KAPC
10/13/2021,87.25,87.25,87.25,87.25,100,KAPC
10/12/2021,89,89,89,89,100,KAPC
10/05/2021,89,89.75,89,89.75,"1,300",KAPC
10/04/2021,89.75,89.75,89.75,89.75,300,KAPC
10/01/2021,89.75,89.75,89.75,89.75,200,KAPC
09/28/2021,90,90,90,90,600,KAPC
09/24/2021,92,92,90,90.75,"3,000",KAPC
09/23/2021,90,90,90,90,100,KAPC
09/17/2021,90,90,90,90,700,KAPC
09/16/2021,90,90,90,90,400,KAPC
09/15/2021,90,90,90,90,100,KAPC
09/14/2021,88.5,88.5,88.5,88.5,"3,100",KAPC
09/09/2021,88.5,88.5,88.5,88.5,"6,800",KAPC
09/08/2021,88.5,88.5,88.5,88.5,100,KAPC
09/06/2021,90,90,90,90,400,KAPC
08/30/2021,83,89.5,83,88.5,600,KAPC
08/24/2021,82,82,82,82,100,KAPC
08/18/2021,82,82,82,82,200,KAPC
08/17/2021,82,82,82,82,500,KAPC
08/16/2021,85,85,82,82.25,"1,000",KAPC
08/13/2021,85,85,85,85,200,KAPC
08/10/2021,85,85,85,85,500,KAPC
08/09/2021,87,87,87,87,200,KAPC
08/06/2021,87,87,87,87,"2,200",KAPC
08/03/2021,89.5,89.5,89.5,89.5,600,KAPC
08/02/2021,89,89,89,89,100,KAPC
07/30/2021,89,89,89,89,200,KAPC
07/29/2021,89,89,85,85.5,800,KAPC
07/28/2021,89,89,89,89,100,KAPC
07/27/2021,89,89,89,89,300,KAPC
07/26/2021,89,89,89,89,"6,500",KAPC
07/23/2021,90,90,90,90,100,KAPC
07/22/2021,90,90,90,90,100,KAPC
07/21/2021,101,101,90,92,"6,500",KAPC
07/19/2021,98,98,98,98,100,KAPC
07/16/2021,98,98,98,98,100,KAPC
07/15/2021,93.5,99,93.5,98.25,"7,400",KAPC
07/14/2021,93.5,93.5,93.5,93.5,500,KAPC
07/09/2021,85,85,85,85,100,KAPC
07/08/2021,94,94,85,85.5,"6,800",KAPC
07/07/2021,94,94,94,94,"8,500",KAPC
07/06/2021,94,94,94,94,"1,400",KAPC
07/05/2021,94,94,94,94,100,KAPC
07/02/2021,94,94.5,94,94.25,"1,500",KAPC
07/01/2021,89,94,89,90,900,KAPC
06/30/2021,85,89,85,86.75,"1,800",KAPC
06/28/2021,85,85,85,85,300,KAPC
06/25/2021,80.5,85,80.5,82.75,200,KAPC
06/21/2021,80,80,80,80,300,KAPC
06/17/2021,82.25,82.25,82.25,82.25,300,KAPC
06/16/2021,82.25,82.25,82.25,82.25,300,KAPC
06/15/2021,80,80,80,80,800,KAPC
06/14/2021,82,82,80,80.75,"2,700",KAPC
06/11/2021,82,82,82,82,700,KAPC
06/09/2021,81,82.25,81,82.25,"1,300",KAPC
06/08/2021,82.25,82.25,82.25,82.25,500,KAPC
06/07/2021,81,81,81,81,200,KAPC
06/04/2021,81,81,81,81,100,KAPC
06/03/2021,82.25,82.25,82.25,82.25,100,KAPC
05/31/2021,82.25,82.25,80,80.5,"1,300",KAPC
05/27/2021,80,80,80,80,100,KAPC
05/24/2021,82.25,82.25,82.25,82.25,100,KAPC
05/18/2021,80,82.25,80,81.5,"4,700",KAPC
05/17/2021,80,82.25,80,80,"5,100",KAPC
05/12/2021,82.5,82.5,82,82.25,"1,000",KAPC
05/11/2021,82.5,82.5,82.5,82.5,300,KAPC
04/30/2021,82,86,82,82.5,900,KAPC
04/28/2021,82,82,82,82,"5,700",KAPC
04/23/2021,81.5,85,81.25,82,"4,700",KAPC
04/22/2021,85,85,81,81.25,"5,400",KAPC
04/21/2021,85,85,85,85,100,KAPC
04/15/2021,89,89,89,89,500,KAPC
04/14/2021,82.5,82.5,82.5,82.5,"4,000",KAPC
04/13/2021,89,89,89,89,400,KAPC
04/07/2021,81,81,81,81,100,KAPC
04/01/2021,90,90,84,87,200,KAPC
03/30/2021,84,84,84,84,500,KAPC
03/29/2021,84,84,84,84,300,KAPC
03/25/2021,84,84,84,84,"1,000",KAPC
03/24/2021,84,84,84,84,500,KAPC
03/23/2021,84,85,84,84.5,"2,700",KAPC
03/19/2021,84,85,84,85,"5,800",KAPC
03/18/2021,84,84,84,84,100,KAPC
03/15/2021,78.25,78.25,78.25,78.25,100,KAPC
03/09/2021,80,80,78,78.25,700,KAPC
02/26/2021,85,85,85,85,200,KAPC
02/25/2021,84,84,84,84,300,KAPC
02/24/2021,84,84,84,84,200,KAPC
02/22/2021,81,81,81,81,100,KAPC
02/19/2021,84,84,84,84,800,KAPC
02/18/2021,80,80,80,80,100,KAPC
02/17/2021,84,84,84,84,500,KAPC
02/16/2021,85,85,85,85,100,KAPC
02/09/2021,78,78,78,78,"5,200",KAPC
02/04/2021,78,78,78,78,"1,000",KAPC
02/02/2021,78,78,78,78,300,KAPC
01/28/2021,78,78,78,78,"10,000",KAPC
01/26/2021,79,79,79,79,300,KAPC
01/25/2021,80,80,80,80,500,KAPC
01/22/2021,79.25,79.25,79,79,600,KAPC
01/21/2021,79.5,79.5,79,79.25,500,KAPC
01/20/2021,79.5,79.5,79.5,79.5,300,KAPC
01/19/2021,80,80,80,80,200,KAPC
01/12/2021,80,80,80,80,600,KAPC
01/11/2021,78,78,78,78,800,KAPC
01/08/2021,78,78,78,78,100,KAPC
01/07/2021,78,78,78,78,100,KAPC
12/30/2020,78,78,78,78,200,KAPC
12/23/2020,71,71,71,71,"1,100",KAPC
12/22/2020,71,71,71,71,300,KAPC
12/15/2020,71,71,71,71,100,KAPC
12/14/2020,71,71,71,71,500,KAPC
12/11/2020,71,71,71,71,200,KAPC
12/08/2020,71,71,71,71,"5,200",KAPC
12/07/2020,71,71,71,71,"1,300",KAPC
12/04/2020,71,71,71,71,700,KAPC
12/02/2020,71,71,71,71,100,KAPC
12/01/2020,71,71,71,71,"1,300",KAPC
11/27/2020,71,71,71,71,300,KAPC
11/26/2020,72,72,71,71.5,600,KAPC
11/19/2020,72,72,68.5,71.5,700,KAPC
11/17/2020,72,79.5,72,75.75,200,KAPC
11/12/2020,79.5,79.5,79.5,79.5,100,KAPC
11/11/2020,80,80,80,80,200,KAPC
11/10/2020,80,80,80,80,700,KAPC
11/05/2020,80,80,80,80,200,KAPC
11/04/2020,80,80,80,80,500,KAPC
11/03/2020,80,80,80,80,100,KAPC
11/02/2020,80,80,80,80,100,KAPC
10/30/2020,80,80,80,80,200,KAPC
10/29/2020,80,80,80,80,900,KAPC
10/27/2020,80,80,80,80,200,KAPC
10/26/2020,75,75,75,75,100,KAPC
10/16/2020,75,75,75,75,500,KAPC
10/06/2020,80,81.5,80,80.5,300,KAPC
10/05/2020,80,80,80,80,100,KAPC
09/21/2020,81.5,81.5,81.5,81.5,100,KAPC
09/15/2020,80,80,80,80,300,KAPC
09/11/2020,75,75,75,75,100,KAPC
09/10/2020,82,82,82,82,100,KAPC
09/02/2020,78.5,78.5,77,78,300,KAPC
08/20/2020,85,85,85,85,100,KAPC
08/19/2020,85.25,85.25,85.25,85.25,100,KAPC
08/18/2020,80,86,80,81.5,400,KAPC
08/13/2020,80,80,80,80,100,KAPC
08/12/2020,82,82,80,80.25,"1,100",KAPC
08/07/2020,79.5,79.5,79.5,79.5,"2,600",KAPC
08/05/2020,81,81,78.75,79.5,"2,200",KAPC
08/04/2020,81,84,81,82.5,200,KAPC
07/29/2020,90,90,89,89.75,"1,000",KAPC
07/27/2020,89,89,89,89,100,KAPC
07/20/2020,90,90,90,90,100,KAPC
07/17/2020,85,90,85,88.5,700,KAPC
07/07/2020,83,83,83,83,200,KAPC
07/01/2020,83,83,83,83,200,KAPC
06/26/2020,83,83,83,83,100,KAPC
06/25/2020,79,79,79,79,100,KAPC
06/11/2020,79,79,79,79,800,KAPC
06/10/2020,79,79,79,79,"1,100",KAPC
06/08/2020,79,79,79,79,100,KAPC
06/04/2020,72,72,72,72,100,KAPC
05/29/2020,79,79,79,79,200,KAPC
05/28/2020,79,79,79,79,200,KAPC
05/27/2020,79,79,79,79,300,KAPC
05/26/2020,79,79,79,79,100,KAPC
05/14/2020,79,79,79,79,200,KAPC
05/12/2020,72,72,72,72,800,KAPC
05/04/2020,70,70,70,70,500,KAPC
04/24/2020,71,71,64,66.5,500,KAPC
04/22/2020,71,71,71,71,100,KAPC
04/07/2020,71,71,71,71,100,KAPC
03/25/2020,65,65,65,65,200,KAPC
03/24/2020,62,62,62,62,300,KAPC
03/23/2020,62,62,62,62,500,KAPC
03/20/2020,65,65,65,65,200,KAPC
03/19/2020,64.5,64.5,59,62.75,"1,500",KAPC
03/17/2020,67.5,67.5,64.5,65,500,KAPC
03/16/2020,72,72,70,71.5,500,KAPC
03/11/2020,75,75,75,75,300,KAPC
03/04/2020,78,78,78,78,100,KAPC
02/28/2020,78,78,78,78,700,KAPC
02/26/2020,78,83,76.25,78,800,KAPC
02/21/2020,83,83,83,83,200,KAPC
02/17/2020,83,83,83,83,100,KAPC
02/14/2020,82,83,80,82,"1,300",KAPC
02/13/2020,80.5,81,80,80.5,400,KAPC
02/12/2020,81,81,81,81,400,KAPC
02/10/2020,81,81,81,81,200,KAPC
02/07/2020,81,81,81,81,"1,300",KAPC
02/06/2020,81.25,82,81,81.25,300,KAPC
02/05/2020,80,80,80,80,300,KAPC
01/29/2020,77.5,77.5,77.5,77.5,400,KAPC
01/28/2020,77.5,77.5,77.5,77.5,300,KAPC
01/27/2020,77.5,77.5,77.5,77.5,300,KAPC
01/24/2020,81.5,83,80,81.5,"1,000",KAPC
01/22/2020,80,80,80,80,"1,000",KAPC
01/17/2020,78.5,80,76,78.5,800,KAPC
01/09/2020,75,75,75,75,300,KAPC
01/06/2020,80,80,80,80,100,KAPC
12/30/2019,80,80,80,80,200,KAPC
12/27/2019,80,80,80,80,200,KAPC
12/20/2019,75.25,75.25,75.25,75.25,"1,300",KAPC
12/19/2019,75.25,75.25,75,75.25,500,KAPC
12/18/2019,75,75,75,75,"1,000",KAPC
12/17/2019,75.25,75.5,75,75.25,"1,400",KAPC
12/16/2019,75,75,75,75,200,KAPC
12/13/2019,75.25,75.25,75,75.25,"1,500",KAPC
12/11/2019,75,76,75,75,"1,700",KAPC
12/10/2019,75,75,75,75,800,KAPC
12/09/2019,75,75,75,75,100,KAPC
12/06/2019,73.25,74,73,73.25,"2,100",KAPC
11/27/2019,75,75,75,75,"1,000",KAPC
11/26/2019,72,72,72,72,100,KAPC
11/25/2019,72,72,72,72,100,KAPC
11/22/2019,75,75,75,75,700,KAPC
11/20/2019,74.5,75,73,74.5,400,KAPC
11/19/2019,72.25,73,72,72.25,"2,600",KAPC
11/18/2019,73,73,73,73,"1,000",KAPC
11/15/2019,73,73,73,73,400,KAPC
11/13/2019,73,73,73,73,100,KAPC
11/12/2019,72,73,72,72,"2,600",KAPC
11/11/2019,73,73,73,73,"4,900",KAPC
11/08/2019,74,75,73,74,200,KAPC
11/07/2019,79.25,80,75,79.25,700,KAPC
11/06/2019,80,80,80,80,100,KAPC
11/04/2019,75.25,75.5,75,75.25,"1,500",KAPC
11/01/2019,76.75,77,75,76.75,"1,200",KAPC
10/31/2019,75,75,75,75,100,KAPC
10/30/2019,75,75,75,75,200,KAPC
10/22/2019,77,77,77,77,100,KAPC
10/17/2019,77,77,77,77,"1,200",KAPC
10/16/2019,77.75,78.5,77,77.75,200,KAPC
10/14/2019,78.5,78.5,78.5,78.5,100,KAPC
10/11/2019,79.75,81,78.5,79.75,200,KAPC
10/08/2019,78.25,78.5,78.25,78.25,600,KAPC
10/04/2019,78.75,79,78.75,78.75,300,KAPC
10/03/2019,78.75,78.75,78.75,78.75,100,KAPC
10/02/2019,79,79,79,79,100,KAPC
10/01/2019,76,77,76,76,700,KAPC
09/26/2019,74.75,74.75,74.75,74.75,300,KAPC
09/24/2019,74.75,75,74,74.75,"1,000",KAPC
09/19/2019,70,70,70,70,100,KAPC
09/18/2019,76,76,76,76,300,KAPC
09/17/2019,76,76,76,76,100,KAPC
09/05/2019,74,74,74,74,100,KAPC
09/02/2019,70.5,75,70,70.5,"1,200",KAPC
08/30/2019,73,73,73,73,100,KAPC
08/28/2019,70,70,70,70,"2,200",KAPC
08/26/2019,72,72,72,72,800,KAPC
08/23/2019,70,70,70,70,400,KAPC
08/22/2019,72,72,72,72,"1,700",KAPC
08/19/2019,72,72,72,72,100,KAPC
08/16/2019,73,73,73,73,100,KAPC
08/15/2019,71,72,70,71,200,KAPC
08/09/2019,74.5,74.5,74.5,74.5,100,KAPC
08/08/2019,74,74,74,74,100,KAPC
08/07/2019,82,82,82,82,300,KAPC
08/02/2019,82,82,82,82,100,KAPC
08/01/2019,82,82,82,82,"1,300",KAPC
07/30/2019,91,91,91,91,200,KAPC
07/29/2019,91.5,95,91,91.5,"3,000",KAPC
07/26/2019,92.5,94,90,92.5,"8,300",KAPC
07/25/2019,91,92,90,91,200,KAPC
07/24/2019,91.25,92,90,91.25,700,KAPC
07/23/2019,90,90,90,90,"1,800",KAPC
07/22/2019,90,92,90,90,"2,500",KAPC
07/19/2019,90.75,91,90,90.75,400,KAPC
07/18/2019,90,90,90,90,"1,600",KAPC
07/17/2019,91,94,89.5,91,800,KAPC
07/16/2019,90,90,90,90,"2,600",KAPC
07/15/2019,89.5,90,89,89.5,400,KAPC
07/12/2019,89,90,89,89,"1,000",KAPC
07/11/2019,88.75,89.5,87,88.75,"1,400",KAPC
07/10/2019,88.5,89,88,88.5,200,KAPC
07/09/2019,86.25,88,86,86.25,600,KAPC
07/08/2019,87.75,88,87.5,87.75,300,KAPC
07/05/2019,87.5,88,87,87.5,600,KAPC
07/04/2019,85.75,88,82,85.75,"1,900",KAPC
07/03/2019,81.75,82,81.5,81.75,600,KAPC
07/01/2019,81.25,82.5,81.25,81.25,"1,600",KAPC
06/28/2019,75.25,81.25,74,75.25,"2,100",KAPC
06/26/2019,74.25,74.5,74.25,74.25,"1,600",KAPC
06/20/2019,68,68,68,68,400,KAPC
06/18/2019,67,67,67,67,100,KAPC
06/17/2019,67,67,67,67,100,KAPC
06/13/2019,62,62,62,62,600,KAPC
05/21/2019,60,60,60,60,100,KAPC
05/17/2019,60,60,60,60,"4,800",KAPC
05/16/2019,60,60,60,60,200,KAPC
05/08/2019,59.79,63,57,59.79,"5,600",KAPC
